platform,org,repo,metric,timeKey,value,country,category,orgLabel
github,NixOS,nixpkgs,activity,2020-10,3167.61,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-11,3315.02,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-12,3021.4,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-01,3572.09,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-02,3110.51,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-03,3208,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-04,3471.3,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-05,3660.27,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-06,3573.39,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-07,3244.64,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-08,3237.9,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-09,3272.58,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-10,3515,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-11,3800.33,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-12,3692.01,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-01,3995.5,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-02,3383.9,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-03,3504.98,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-04,3818.91,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-05,3785.13,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-06,3432.55,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-07,3627.08,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-08,3938.18,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-09,3720.41,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-10,4011.78,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-11,4010.06,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022-12,3836.86,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-01,4295.76,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-02,4101.5,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-03,4257.26,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-04,4296.87,CH,os,NixOS
